Matricno,Regno,Attendance
19CG026388,1901365,1
19CG026391,1900085,1
19CG026414,1900972,1
19CG026425,1901748,1
19CG026438,1900902,1
19CG026450,1902958,1
19CG026454,1900921,1
19CK025982,1902228,1
20CD028251,2000453,1
20CD028256,2000221,1
20CD028258,2000115,1
20CD028267,2003207,1
20CE028302,2001134,1
20CE028327,2001473,1
20CG028030,2001892,1
20CG028032,2000246,1
20CG028033,2002464,1
20CG028035,2003215,1
20CG028036,2001624,1
20CG028037,2002631,1
20CG028038,2001768,1
20CG028039,2002737,1
20CG028040,2000002,1
20CG028041,2000480,1
20CG028042,2000866,1
20CG028043,2002076,1
20CG028044,2002937,1
20CG028045,2001910,1
20CG028046,2002165,1
20CG028047,2002826,1
20CG028048,2002617,1
20CG028050,2000994,1
20CG028051,2000177,1
20CG028052,2000430,1
20CG028053,2001754,1
20CG028054,2000682,1
20CG028055,2000223,1
20CG028056,2000433,1
20CG028057,2000080,1
20CG028058,2001796,1
20CG028059,2000658,1
20CG028061,2000491,1
20CG028062,2000090,1
20CG028063,2001092,1
20CG028064,2002360,1
20CG028065,2000939,1
20CG028067,2001643,1
20CG028068,2000255,1
20CG028069,2002799,1
20CG028070,2001232,1
20CG028071,2002306,1
20CG028072,2000930,1
20CG028073,2000665,1
20CG028074,2000835,1
20CG028075,2000584,1
20CG028076,2001446,1
20CG028077,2000282,1
20CG028078,2002935,1
20CG028079,2000557,1
20CG028081,2002583,1
20CG028082,2000807,1
20CG028083,2001961,1
20CG028084,2000694,1
20CG028085,2001369,1
20CG028086,2001069,1
20CG028087,2001447,1
20CG028088,2000241,1
20CG028089,2002843,1
20CG028090,2002614,1
20CG028092,2002569,1
20CG028093,2001960,1
20CG028094,2001622,1
20CG028095,2000193,1
20CG028098,2001712,1
20CG028100,2002160,1
20CG028101,2002035,1
20CG028103,2001684,1
20CG028104,2001979,1
20CG028106,2002710,1
20CG028107,2003005,1
20CG028108,2000452,1
20CG028109,2001219,1
20CG028110,2002338,1
20CG028111,2001176,1
20CG028112,2001560,1
20CG028114,2001080,1
20CG028116,2000561,1
20CG028117,2001326,1
20CG028118,2000625,1
20CG028119,2000880,1
20CG028120,2001068,1
20CG028121,2001717,1
20CG028122,2002973,1
20CG028123,2000017,1
20CG028124,2002847,1
20CG028125,2000863,1
20CG028126,2002858,1
20CG028127,2001125,1
20CG028128,2003171,1
20CG028129,2001935,1
20CG028130,2001475,1
20CG028131,2000515,1
20CG028132,2002316,1
20CG028133,2000023,1
20CG028134,2002871,1
20CG028136,2002521,1
20CG028137,2000970,1
20CG028139,2002669,1
20CG028140,2002389,1
20CG028141,2000635,1
20CG028142,2000864,1
20CG028143,2000551,1
